id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
4,633.99508,386.39999999998054,374,386,0.45756071293262934,0.5228437583512735,0.943072581417,1.0,pupil,-40.295291127199974,-16.60873426876849,447.9663377197777,633.99508 634.00348 634.01188 634.02028 634.02868 634.03708 634.04548 634.05388 634.06228 634.07068 634.07908 634.08748 634.09588 634.10428 634.11268 634.12108 634.12948 634.13788 634.14628 634.15468 634.16308 634.17148 634.17988 634.18828 634.19668 634.20508 634.21348 634.23868 634.24708 634.25548 634.26388 634.27228 634.28068 634.28908 634.29748 634.30588 634.31428 634.32268 634.33108 634.33948 634.34788 634.35628 634.36468 634.37308 634.38148
5,638.00188,949.2000000000189,494,522,0.45791729100196604,0.6950717939290976,0.761371129548,1.0,pupil,-40.75649634666188,-87.8317790861112,448.48913981646695,638.00188 638.01028 638.01868 638.02708 638.03548 638.04388 638.05228 638.06068 638.06908 638.07748 638.08588 638.09428 638.10268 638.11108 638.11948 638.12788 638.13628 638.14468 638.15308 638.16148 638.16988 638.17828 638.18668 638.19508 638.20348 638.21188 638.22028 638.22868 638.23708 638.24548 638.25388 638.26228 638.27068 638.27908 638.28748 638.29588 638.30428 638.31268 638.32108 638.32948 638.33788 638.34628 638.35468 638.36308 638.37148 638.37988 638.38828 638.39668 638.40508 638.41348 638.42188 638.43028 638.43868 638.44708 638.45548 638.46388 638.48908 638.49748 638.50588 638.51428 638.52268 638.53108 638.53948 638.54788 638.55628 638.56468 638.58988 638.59828 638.60668 638.61508 638.62348 638.63188 638.64028 638.64868 638.65708 638.66548 638.67388 638.68228 638.69068 638.69908 638.70748 638.71588 638.72428 638.73268 638.74108 638.74948 638.75788 638.76628 638.77468 638.78308 638.79148 638.79988 638.80828 638.81668 638.82508 638.83348 638.84188 638.85028 638.85868 638.86708 638.88388 638.89228 638.90068 638.90908 638.91748 638.92588 638.95108
6,642.39508,419.9999999999591,625,637,0.4575982706153118,0.7466964000510005,0.981692122169,1.0,pupil,-41.25801988061185,-109.77105707024438,447.0780415071867,642.39508 642.40348 642.41188 642.42028 642.42868 642.43708 642.44548 642.45388 642.46228 642.47068 642.47908 642.48748 642.49588 642.50428 642.51268 642.52108 642.52948 642.53788 642.55468 642.56308 642.57148 642.57988 642.58828 642.59668 642.60508 642.61348 642.62188 642.63028 642.63868 642.64708 642.65548 642.66388 642.67228 642.68068 642.68908 642.69748 642.70588 642.71428 642.72268 642.73108 642.73948 642.74788 642.75628 642.76468 642.77308 642.78148 642.78988 642.79828 642.80668 642.81508
7,646.89748,445.1999999999998,759,772,0.4758979259307994,0.6126471538033882,0.79912926814,0.999811320754717,pupil,-27.37130835282358,-52.61739836793828,443.33777705930254,646.89748 646.90588 646.91428 646.92268 646.93108 646.93948 646.94788 646.95628 646.96468 646.97308 646.98148 646.99828 647.00668 647.01508 647.02348 647.03188 647.04028 647.04868 647.05708 647.06548 647.07388 647.08228 647.09068 647.09908 647.10748 647.11588 647.12428 647.13268 647.14108 647.14948 647.15788 647.16628 647.17468 647.18308 647.19148 647.19988 647.20828 647.21668 647.22508 647.23348 647.24188 647.25028 647.25868 647.26708 647.27548 647.28388 647.29228 647.30068 647.30908 647.31748 647.32588 647.33428 647.34268
8,650.90428,344.4000000000642,879,889,0.49781071718965936,0.6574405063407393,0.407030459257,1.0,pupil,-12.122423206626715,-69.79538643983702,436.5776313264799,650.90428 650.91268 650.92108 650.92948 650.93788 650.94628 650.95468 650.96308 650.97148 650.97988 650.98828 650.99668 651.00508 651.01348 651.02188 651.03028 651.03868 651.04708 651.05548 651.06388 651.07228 651.08068 651.08908 651.09748 651.10588 651.11428 651.12268 651.13108 651.13948 651.14788 651.15628 651.16468 651.17308 651.18148 651.18988 651.19828 651.20668 651.21508 651.22348 651.23188 651.24028 651.24868
9,655.06228,403.1999999999698,1003,1015,0.4527549058744736,0.7480586665946952,0.917313659473,1.0,pupil,-44.876732688401866,-110.76847188734291,448.40795819101237,655.06228 655.07068 655.07908 655.08748 655.09588 655.10428 655.11268 655.12108 655.12948 655.13788 655.14628 655.15468 655.16308 655.17148 655.17988 655.18828 655.19668 655.20508 655.21348 655.22188 655.23028 655.23868 655.24708 655.26388 655.27228 655.28068 655.28908 655.29748 655.30588 655.31428 655.32268 655.33108 655.33948 655.34788 655.35628 655.36468 655.37308 655.38148 655.38988 655.39828 655.40668 655.41508 655.42348 655.43188 655.44028 655.44868 655.45708 655.46548
10,659.11108,377.99999999992906,1124,1135,0.48032595395195143,0.764893866080359,0.991147620719,1.0,pupil,-24.718152469095138,-115.47527904116941,439.53417765477576,659.11108 659.11948 659.12788 659.13628 659.14468 659.15308 659.16148 659.16988 659.17828 659.18668 659.19508 659.20348 659.21188 659.22028 659.22868 659.23708 659.24548 659.26228 659.27068 659.27908 659.28748 659.29588 659.30428 659.31268 659.32108 659.32948 659.33788 659.34628 659.35468 659.36308 659.37148 659.37988 659.38828 659.39668 659.40508 659.41348 659.42188 659.43028 659.43868 659.44708 659.46388 659.47228 659.48068 659.48908
11,663.21868,302.4000000000342,1246,1255,0.4754142369606545,0.6822316065401807,0.931749811135,1.0,pupil,-28.018527427960745,-81.46233913643377,444.35337834659975,663.21868 663.22708 663.23548 663.24388 663.25228 663.26068 663.26908 663.27748 663.28588 663.29428 663.30268 663.31108 663.31948 663.32788 663.33628 663.34468 663.35308 663.36148 663.36988 663.37828 663.38668 663.39508 663.40348 663.41188 663.42028 663.42868 663.43708 663.44548 663.45388 663.46228 663.47068 663.47908 663.48748 663.49588 663.50428 663.51268 663.52108
12,667.947879,1108.8000000000875,1387,1420,0.4825303993265873,0.7316989958712715,0.956880376909,0.9999236641221375,pupil,-23.076754570580544,-101.57884541030444,441.01599933148077,667.947879 667.956279 667.964679 667.973079 667.981479 667.989879 667.998279 668.006679 668.015079 668.023479 668.031879 668.040279 668.048679 668.057079 668.065479 668.073879 668.082279 668.090679 668.099079 668.107479 668.115879 668.124279 668.132679 668.141079 668.149479 668.157879 668.166279 668.174679 668.183079 668.191479 668.199879 668.208279 668.216679 668.225079 668.233479 668.241879 668.250279 668.258679 668.267079 668.275479 668.283879 668.292279 668.300679 668.309079 668.317479 668.325879 668.334279 668.342679 668.351079 668.359479 668.367879 668.376279 668.384679 668.393079 668.401479 668.409879 668.418279 668.426679 668.435079 668.443479 668.451879 668.460279 668.468679 668.477079 668.485479 668.493879 668.502279 668.510679 668.519079 668.527479 668.535879 668.544279 668.552679 668.561079 668.569479 668.577879 668.586279 668.594679 668.603079 668.611479 668.619879 668.628279 668.636679 668.645079 668.653479 668.661879 668.670279 668.678679 668.687079 668.695479 668.703879 668.712279 668.720679 668.729079 668.745879 668.754279 668.762679 668.771079 668.779479 668.787879 668.796279 668.804679 668.813079 668.821479 668.829879 668.838279 668.846679 668.855079 668.863479 668.880279 668.888679 668.897079 668.905479 668.913879 668.922279 668.930679 668.939079 668.947479 668.955879 668.964279 668.972679 668.981079 668.989479 668.997879 669.006279 669.014679 669.023079 669.031479 669.039879 669.048279 669.056679
13,676.305879,336.00000000001273,1637,1647,0.45581176419590896,0.7551139210896943,0.918779456252,1.0,pupil,-42.73349676297174,-113.794956002928,448.3248604037393,676.305879 676.314279 676.322679 676.331079 676.339479 676.347879 676.356279 676.364679 676.373079 676.381479 676.389879 676.398279 676.406679 676.415079 676.423479 676.431879 676.440279 676.448679 676.457079 676.465479 676.473879 676.482279 676.490679 676.499079 676.507479 676.515879 676.524279 676.532679 676.541079 676.549479 676.557879 676.566279 676.583079 676.591479 676.599879 676.608279 676.616679 676.625079 676.633479 676.641879
